time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Setpoint value active current [Arms];Actual active current value [Arms];Position control error [mm]
151.937514543533;51.3660547;51.3661713;-0.05989841;-0.05970676;-0.2506372;-0.2830021;-0.0001166
153.000012040138;51.3059097;51.3062687;-0.06032385;-0.05984224;-0.1636022;-0.2086832;-0.0003590
154.062509536743;51.2389307;51.2388558;-0.05884679;-0.05985052;-0.152026;-0.1150958;0.0000749
155.125007033348;51.1795635;51.1797280;-0.05998968;-0.05943201;-0.2620621;-0.240115;-0.0001645
156.187504529953;51.1118672;51.1123152;-0.06009158;-0.05982278;-0.127993;-0.2018641;-0.0004480
157.250002026558;51.0525703;51.0520549;-0.05885924;-0.06007088;-0.1577531;-0.1343902;0.0005154
158.312514424324;50.9855319;50.9845228;-0.0599582;-0.06006494;-0.1870885;-0.2366292;0.0010091
159.375011920929;50.9255000;50.9239645;-0.05982891;-0.06039441;-0.1453554;-0.1373391;0.0015355
160.437509417534;50.8580171;50.8561344;-0.05983971;-0.06029077;-0.1594098;-0.1979626;0.0018827
161.500006914139;50.7978940;50.7961721;-0.05954512;-0.06004672;-0.05202663;-0.1069378;0.0017219
162.562504410744;50.7314175;50.7299514;-0.05910195;-0.05921209;-0.2401217;-0.1401889;0.0014661
163.625001907349;50.6715109;50.6713004;-0.06006606;-0.05886996;-0.240898;-0.2561956;0.0002105
164.687514305115;50.6040000;50.6045432;-0.06006052;-0.05918377;-0.2312005;-0.240917;-0.0005432
165.75001180172;50.5440000;50.5448193;-0.06009128;-0.05951795;-0.2185594;-0.2818752;-0.0008193
166.812509298325;50.4765000;50.4774065;-0.060101;-0.05977753;-0.2073044;-0.2008347;-0.0009065
167.87500679493;50.4164904;50.4174442;-0.06017561;-0.05990626;-0.1966424;-0.1990697;-0.0009538
168.937504291534;50.3490903;50.3498525;-0.05980107;-0.06001097;-0.2328391;-0.1599321;-0.0007622
170.000016689301;50.2887144;50.2894134;-0.06124715;-0.06034377;-0.2446884;-0.3618421;-0.0006990
171.062514185905;50.2204583;50.2206893;-0.06002866;-0.0608746;-0.1148972;-0.06688569;-0.0002310
172.12501168251;50.1605000;50.1599521;-0.05993895;-0.06076163;-0.1391615;-0.1398288;0.0005479
173.187509179115;50.0929766;50.0922413;-0.05991807;-0.06039582;-0.1400807;-0.1557176;0.0007353
174.25000667572;50.0331328;50.0323386;-0.05986984;-0.06007387;-0.2459501;-0.2081365;0.0007942
175.312504172325;49.9647998;49.9642105;-0.0609249;-0.06046997;-0.1505777;-0.2095303;0.0005893
176.375016570091;49.9044463;49.9029965;-0.05974211;-0.06093642;-0.08289842;-0.0560212;0.0014498
177.437514066696;49.8371060;49.8346896;-0.05999379;-0.06074492;-0.2144367;-0.1648672;0.0024164
178.500011563301;49.7761831;49.7740717;-0.06063714;-0.06067881;-0.09430153;-0.03913669;0.0021114
179.562509059906;49.7084795;49.7063012;-0.05959844;-0.06033744;-0.1112852;-0.09739905;0.0021783
180.625006556511;49.6485630;49.6470542;-0.06025604;-0.05964565;-0.2879831;-0.2375637;0.0015088
181.687504053116;49.5800000;49.5799989;-0.05983333;-0.05964164;-0.1366673;-0.1525146;0.0000011
182.750016450882;49.5200000;49.5202751;-0.06119732;-0.05964772;-0.3128815;-0.2739307;-0.0002751
183.812513947487;49.4515248;49.4523854;-0.05987583;-0.06011968;-0.1547212;-0.1399395;-0.0008606
184.875011444092;49.3913502;49.3921251;-0.06130638;-0.06019377;-0.2635105;-0.3239968;-0.0007749
185.937508940697;49.3230527;49.3238182;-0.05986654;-0.06053308;-0.1622421;-0.1151756;-0.0007655
187.000006437302;49.2626973;49.2630810;-0.0612615;-0.06069267;-0.2051948;-0.2368004;-0.0003837
188.062503933907;49.1945557;49.1945357;-0.05985291;-0.06086519;-0.1494184;-0.1191671;0.0000200
189.125016331673;49.1341885;49.1337986;-0.06092791;-0.06078957;-0.233105;-0.2098826;0.0003899
190.187513828278;49.0653672;49.0647764;-0.06097584;-0.06120319;-0.09026814;-0.1290337;0.0005908
191.250011324883;49.0050703;49.0033240;-0.0597221;-0.06128964;-0.1245789;-0.079491;0.0017463
192.312508821487;48.9369069;48.9351363;-0.06087336;-0.06083403;-0.1825424;-0.1650597;0.0017706
193.375006318092;48.8758968;48.8742799;-0.06084557;-0.06084926;-0.1816161;-0.1450744;0.0016169
194.437503814697;48.8071440;48.8057346;-0.06057994;-0.06085647;-0.06187655;-0.0938456;0.0014094
195.500016212463;48.7470669;48.7455935;-0.05996344;-0.06035933;-0.211059;-0.1659972;0.0014734
196.562513709068;48.6786359;48.6783595;-0.06105872;-0.06001325;-0.2285694;-0.2496271;0.0002764
197.625011205673;48.6176250;48.6179204;-0.06103291;-0.06029168;-0.2179922;-0.227215;-0.0002954
198.687508702278;48.5490000;48.5493154;-0.06095181;-0.0607485;-0.1960793;-0.1333471;-0.0003154
199.750006198883;48.4880000;48.4882803;-0.0614479;-0.06092123;-0.1933221;-0.1757875;-0.0002803
200.812503695488;48.4195152;48.4197945;-0.05988039;-0.06086573;-0.09757593;-0.0214192;-0.0002793
201.875016093254;48.3593996;48.3598323;-0.0609014;-0.0602962;-0.2638183;-0.3077047;-0.0004327
202.937513589859;48.2907500;48.2921810;-0.06115944;-0.06024777;-0.2382615;-0.2717512;-0.0014310
