time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
154.000014066696;48.1414609;48.0550140;0.002506701;0.03785534;48.2830000
155.000001192093;48.1237422;48.0498284;0.04611029;0.01150556;48.2830000
156.000003218651;48.2566328;48.1092542;0.1420456;0.04525249;48.2830000
157.000005245209;48.2861641;48.1898397;-0.001642772;0.06406981;48.4260000
158.000007271767;48.2854438;48.2124895;0.001052868;0.03689091;48.4260000
159.000009298325;48.2678481;48.2023568;0.04490886;0.008067923;48.4260000
160.000011324883;48.3998159;48.2561201;0.1407628;0.04043927;48.4260000
161.00001335144;48.4291421;48.3309239;-0.001345835;0.05868101;48.5680000
162.000000476837;48.4284268;48.3501762;0.001692449;0.03284593;48.5680000
163.000002503395;48.4109541;48.3400435;0.04524964;0.006590346;48.5680000
164.000004529953;48.5419990;48.3962506;0.1401191;0.04148763;48.5680000
165.000006556511;48.5711201;48.4745711;-0.001445873;0.06121047;48.7100000
166.000008583069;48.5704268;48.4959692;0.001269842;0.03507364;48.7100000
167.000010609627;48.5529541;48.4858961;0.04482039;0.007444955;48.7100000
168.000012636185;48.6839990;48.5408515;0.1398294;0.04094709;48.7100000
169.000014662743;48.7131201;48.6166090;-0.001450095;0.05941293;48.8510000
170.000001788139;48.7124097;48.6363381;0.001499148;0.03341633;48.8510000
171.000003814697;48.6950601;48.6266822;0.04470443;0.007091191;48.8510000
172.000005841255;48.8251821;48.6829489;0.1388551;0.04168695;48.8510000
173.000007867813;48.8540982;48.7602561;-0.001661529;0.06062042;48.9910000
174.000009894371;48.8533926;48.7802237;0.001225215;0.03396429;48.9910000
175.000011920929;48.8361660;48.7686605;0.04434421;0.006089614;48.9910000
176.000013947487;48.9653652;48.8214701;0.1381678;0.03911781;48.9910000
177.000001072884;48.9940762;48.8959759;-0.001101156;0.0580054;49.1300000
178.000003099442;48.9933755;48.9154666;0.001802815;0.03276919;49.1300000
179.000005125999;48.9762720;48.9059300;0.04439723;0.00688917;49.1300000
180.000007152557;49.1045484;48.9602297;0.1373427;0.04031117;49.1300000
181.000009179115;49.1330542;49.0366429;-0.001203406;0.05967652;49.2690000
182.000011205673;49.1323755;49.0579813;0.001411215;0.03448024;49.2690000
183.000013232231;49.1152720;49.0490408;0.04393921;0.007849519;49.2690000
184.000015258789;49.2435484;49.1037577;0.1368382;0.04095907;49.2690000
185.000002384186;49.2720542;49.1802305;-0.001714544;0.05994453;49.4060000
186.000004410744;49.2713413;49.2010921;0.001048347;0.03425803;49.4060000
187.000006437302;49.2544839;49.1915555;0.04304518;0.007390752;49.4060000
188.00000846386;49.3809146;49.2445439;0.1347123;0.03963609;49.4060000
189.000010490417;49.4090103;49.3187517;-0.001717042;0.05806186;49.5430000
190.000012516975;49.4083413;49.3385404;0.0009983988;0.03291735;49.5430000
191.000014543533;49.3914839;49.3284673;0.04305501;0.006574094;49.5430000
192.00000166893;49.5179146;49.3824094;0.1346159;0.03998145;49.5430000
193.000003695488;49.5460103;49.4582861;-0.00199942;0.05917174;49.6790000
194.000005722046;49.5453242;49.4782537;0.0007436634;0.03345467;49.6790000
195.000007748604;49.5285898;49.4672865;0.0426011;0.006242665;49.6790000
196.000009775162;49.6540976;49.5200962;0.1335759;0.03911632;49.6790000
197.00001180172;49.6819883;49.5941847;-0.001904638;0.05774015;49.8150000
198.000013828278;49.6813242;49.6132582;0.0008545802;0.03239726;49.8150000
199.000015854836;49.6645898;49.6025891;0.0426788;0.006044356;49.8150000
200.000002980232;49.7900976;49.6562928;0.133554;0.0396148;49.8150000
201.00000500679;49.8179883;49.7321695;-0.00212578;0.0590395;49.9490000
202.000007033348;49.8172900;49.7521966;0.0006223381;0.0333939;49.9490000
203.000009059906;49.8008018;49.7415275;0.04184899;0.006384556;49.9490000
204.000011086464;49.9244638;49.7942775;0.1314061;0.03914462;49.9490000
205.000013113022;49.9519443;49.8691410;-0.002289885;0.05827013;50.0820000
206.00001513958;49.9512729;49.8894065;0.0003122729;0.03330316;50.0820000
207.000017166138;49.9349077;49.8795719;0.04114715;0.006856636;50.0820000
208.000004291534;50.0576470;49.9315470;0.1300784;0.03876199;50.0820000
209.000006318092;50.0849224;50.0056356;-0.002595743;0.05771098;50.2150000
210.00000834465;50.0842729;50.0260800;-9.701913E-05;0.03320626;50.2150000
211.000010371208;50.0679077;50.0160069;0.04076443;0.006638846;50.2150000
212.000012397766;50.1906470;50.0676840;0.1297289;0.03851045;50.2150000
213.000014424324;50.2179224;50.1409977;-0.002858923;0.05709032;50.3470000
214.000016450882;50.2172559;50.1604885;-0.0002063662;0.03245236;50.3470000
215.000003576279;50.2010137;50.1495809;0.04044927;0.005895604;50.3470000
216.000005602837;50.3228301;50.1998275;0.1288609;0.03723988;50.3470000
217.000007629395;50.3499004;50.2714127;-0.002598844;0.05558363;50.4780000
218.000009655952;50.3492388;50.2899498;0.0001240633;0.03128096;50.4780000
