time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
8135.99967956543;80.0000000;79.9999447;-2.695524E-05;80.0000000
8136.75022125244;80.0000000;79.9998851;-5.05042E-05;80.0000000
8137.49980926514;80.0000000;79.9998851;-2.491222E-05;80.0000000
8138.25035095215;80.0000000;79.9998851;-1.228846E-05;80.0000000
8138.99993896484;80.0000000;79.9998851;-6.061529E-06;80.0000000
8139.75048065186;80.0000000;79.9999446;3.879878E-05;80.0000000
8140.50006866455;80.0000000;79.9999446;1.913828E-05;80.0000000
8141.24965667725;80.0000000;79.9999446;9.440344E-06;80.0000000
8142.00019836426;80.0000000;79.9998851;-4.823225E-05;80.0000000
8142.74978637695;80.0000000;79.9999446;1.799722E-05;80.0000000
8143.50032806396;80.0000000;79.9999446;8.877492E-06;80.0000000
8144.24991607666;80.0000000;79.9999446;4.379003E-06;80.0000000
8145.00045776367;80.0000000;80.0000042;3.936802E-05;80.0000000
8145.75004577637;80.0000000;80.0000042;1.941907E-05;80.0000000
8146.49963378906;80.0000000;80.0000042;9.578848E-06;80.0000000
8147.25017547607;80.0000000;80.0000042;4.72496E-06;80.0000000
8147.99976348877;80.0000000;80.0000042;2.330682E-06;80.0000000
8148.75030517578;80.0000000;80.0000042;1.149656E-06;80.0000000
8149.49989318848;80.0000000;80.0000042;5.67091E-07;80.0000000
8150.25043487549;80.0000000;80.0000042;2.797291E-07;80.0000000
8151.00002288818;80.0000000;80.0000042;1.37982E-07;80.0000000
8151.74961090088;80.0000000;80.0000042;6.806241E-08;80.0000000
8152.50015258789;80.0000000;80.0000042;5.910115E-06;80.0000000
8153.24974060059;80.0000000;80.0000042;2.915284E-06;80.0000000
8154.0002822876;80.0000000;80.0000042;1.438023E-06;80.0000000
8154.74987030029;80.0000000;80.0000638;3.791732E-05;80.0000000
8155.5004119873;80.0000000;80.0001234;6.579484E-05;80.0000000
8156.25;80.0000000;80.0000639;-9.33412E-06;80.0000000
8157.00054168701;80.0000000;80.0000043;-3.400315E-05;80.0000000
8157.75012969971;80.0000000;79.9999447;-5.863172E-05;80.0000000
8158.4997177124;80.0000000;80.0000042;1.286747E-05;80.0000000
8159.25025939941;80.0000000;80.0000638;5.932492E-05;80.0000000
8159.99984741211;80.0000000;80.0001234;6.64712E-05;80.0000000
8160.75038909912;80.0000000;80.0001234;3.278826E-05;80.0000000
8161.49997711182;80.0000000;80.0001234;1.617347E-05;80.0000000
8162.25051879883;80.0000000;80.0000639;-4.4911E-05;80.0000000
8163.00010681152;80.0000000;80.0000043;-7.513104E-05;80.0000000
8163.74969482422;80.0000000;80.0000043;-3.70599E-05;80.0000000
8164.50023651123;80.0000000;80.0000043;-1.828055E-05;80.0000000
8165.24982452393;80.0000000;79.9999447;-3.841615E-05;80.0000000
8166.00036621094;80.0000000;80.0000042;2.806281E-05;80.0000000
8166.74995422363;80.0000000;80.0000638;6.682032E-05;80.0000000
8167.50049591064;80.0000000;80.0001234;8.005183E-05;80.0000000
8168.25008392334;80.0000000;80.0001234;3.948719E-05;80.0000000
8168.99967193604;80.0000000;80.0001234;1.947785E-05;80.0000000
8169.75021362305;80.0000000;80.0000639;-2.341043E-05;80.0000000
8170.49980163574;80.0000000;79.9999447;-0.0001017334;80.0000000
